호선,역사명,미세먼지(PM10),이산화탄소(CO2),포름알데히드(HCHO),일산화탄소(CO),avg_congestion,freq
4,총신대입구,94.0,563,15.4,1.0,32.262872487872485,307.0
4,사당4,98.9,586,13.4,0.9,30.71483021483022,307.0
4,남태령,96.8,418,7.2,0.7,50.122314622314626,307.0
5,방 화,59.7,462,8.9,0.9,1.2042388542388542,438.0
5,개화산,65.6,433,9.3,0.9,3.31990066990067,438.0
5,김포공항,74.8,556,18.4,0.9,6.605416955416956,438.0
5,송정,69.1,507,10.8,1.0,9.875213675213676,438.0
5,마곡,64.8,443,9.8,0.8,11.160903210903212,438.0
5,발산,76.0,464,9.9,0.9,13.406675906675908,438.0
5,우장산,79.4,483,13.1,1.2,16.46118041118041,438.0
5,화곡,78.2,523,14.6,1.1,20.39904134904135,438.0
5,까치산,63.3,527,9.4,1.1,23.072915222915224,438.0
5,신정,59.0,493,9.7,0.9,24.4986832986833,438.0
5,목동,71.3,497,12.1,1.1,26.99360129360129,438.0
5,오목교,56.3,605,35.2,1.1,30.323850773850776,438.0
5,양평,80.2,522,10.2,1.1,32.735366135366135,438.0
5,영등포구청,82.7,568,16.6,1.1,28.87119427119427,438.0
5,영등포시장,77.9,492,9.9,0.9,24.65672210672211,438.0
5,신길,70.4,558,13.6,1.0,25.890378840378844,438.0
5,여의도,81.3,550,9.2,0.9,26.804862554862556,438.0
5,여의나루,71.0,526,5.4,1.0,26.754908754908755,438.0
5,마포,67.6,554,9.8,1.1,26.95058905058905,438.0
5,공덕,83.1,557,9.7,1.1,26.611884961884968,438.0
5,애오개,81.0,594,14.7,1.2,26.02079002079002,438.0
5,충정로,75.9,622,9.5,1.2,25.75636405636406,438.0
5,서대문,81.0,529,14.2,1.2,25.620766920766922,438.0
5,광화문,80.4,516,15.6,1.1,25.91638946638947,438.0
5,종로3가,85.1,554,27.7,1.2,24.983160083160083,438.0
5,을지로4가,66.8,531,15.4,1.4,23.452171402171402,438.0
5,동대문역사문화공원,94.5,536,17.8,1.3,23.397724647724644,438.0
5,청구,78.8,504,10.0,1.3,24.776126126126126,438.0
5,신금호,68.5,491,13.4,1.2,25.672453222453218,438.0
5,행당,81.7,545,11.3,1.2,25.575317625317627,438.0
5,왕십리,88.0,561,15.2,1.2,28.00224070224071,438.0
5,마장,75.3,620,10.5,1.5,30.68717948717949,438.0
5,답십리,74.5,644,13.7,1.3,29.989166089166087,438.0
